"C_Name","T_Name","Substitu","User_","PowerSum_","無老年人口戶數比例","戶長平均年齡"
"新北市","新莊區","中華里",1610.48247418,1444956.70251,83.88,51.02
"新北市","新莊區","中隆里",1156.64399927,1716494.68591,86.91,49.38
"新北市","新莊區","中原里",4116.13560742,3329109.99083,88.19,49
"新北市","新莊區","中信里",2843.51723471,1860151.35297,87.6,49.57
"新北市","新莊區","四維里",2277.58011979,1525271.87716,82.48,51.73
"新北市","新莊區","建福里",1086.05761568,767915.562449,82.86,53.16
"新北市","新莊區","中宏里",1331.64522506,891226.005209,82.29,51.82
"新北市","新莊區","中全里",1378.2678783,762303.688119,80.79,52.23
"新北市","新莊區","立泰里",2052.05479816,1209161.88302,79.71,52.14
"新北市","新莊區","全泰里",1920.17186782,1370646.68707,76.09,54.42
"新北市","新莊區","仁義里",1852.82941294,1064922.1492,77.62,53.16
"新北市","新莊區","立基里",2954.00354733,1894628.00136,82.71,51.86
"新北市","新莊區","昌明里",1361.87221691,590633.800968,85.18,52.15
"新北市","新莊區","昌平里",3302.30200863,2064018.90679,90.11,47.66
"新北市","新莊區","文聖里",2027.81403329,1175080.91359,73.57,54.01
"新北市","新莊區","萬安里",1211.92669479,790064.928958,84.77,51.29
"新北市","新莊區","龍安里",1144.19372505,663920.177529,82.44,53.01
"新北市","新莊區","福營里",2931.03882985,4582804.23777,75.21,53.3
"新北市","新莊區","後德里",1221.50270169,695966.593334,84.91,52.64
"新北市","新莊區","建安里",2699.14574403,2139331.92937,87.82,49.84
"新北市","新莊區","成德里",2683.71078995,1419502.14906,85.4,50.79
"新北市","新莊區","福興里",4281.60546244,5315424.83663,86.52,49.84
"新北市","新莊區","昌信里",1480.07169305,604715.74944,88.84,48.83
"新北市","淡水區","文化里",1449.89890909,706817.392912,75.27,53.68
"新北市","淡水區","油車里",3795.09040005,1805149.36977,77.18,53.39
"新北市","淡水區","沙崙里",4591.92671613,1820060.83677,80.18,52.31
"新北市","淡水區","新義里",2271.82180406,1272836.49794,76.92,53.81
"新北市","淡水區","新春里",4536.0560459,1640286.78891,85.48,49.45
"新北市","淡水區","新民里",2717.94380379,1396127.21465,81.46,51.95
"新北市","淡水區","正德里",4313.75256983,1700390.6747,86.8,48.99
"新北市","淡水區","北新里",3069.2879443,1651520.71306,88.37,49.06
"新北市","淡水區","民權里",2628.7674543,1551392.88626,82.22,51.82
"新北市","淡水區","幸福里",2590.20914922,2140259.02646,74.29,55.19
"新北市","淡水區","學府里",4917.34237522,2390653.83965,83.35,50.54
"新北市","淡水區","大庄里",1314.19390106,626879.324558,82.22,50.82
"新北市","汐止區","義民里",1071.22866487,603746.138844,68.77,57.44
"新北市","汐止區","禮門里",846.286992925,437019.864761,69.46,56.16
"新北市","汐止區","智慧里",4090.01824343,2765039.69567,83,50.64
"新北市","汐止區","信望里",486.05603544,288254.873104,63.58,59.18
"新北市","汐止區","橋東里",744.619817625,742411.453116,79.95,52.28
"新北市","汐止區","秀峰里",2979.67923934,2025100.87192,81.36,52.64
"新北市","汐止區","新昌里",1770.44506452,1318627.06979,76.02,53.59
"新北市","汐止區","復興里",4660.06893995,3318501.80397,84.73,50.38
"新北市","汐止區","茄苳里",2138.59020577,1269533.81396,82.69,50.76
"新北市","汐止區","長安里",997.23091165,658051.67539,71.47,56.33
"新北市","汐止區","保安里",1885.47995063,1431086.93996,73.78,54.82
"新北市","汐止區","保長里",242.495730893,205200.604449,81.1,50.37
"新北市","汐止區","鄉長里",1194.38022363,528895.534921,77.26,53.89
"新北市","汐止區","江北里",2325.42904653,1734500.35548,80.97,51.81
"新北市","汐止區","拱北里",3252.29726777,1235199.47817,81.2,52.26
"新北市","汐止區","烘內里",941.455744829,369998.606803,73.71,54.8
"新北市","板橋區","溪北里",1664.7288885,978555.172271,76.84,52.99
"新北市","板橋區","香雅里",251.487118174,1166352.16909,74.13,54.41
"新北市","板橋區","新生里",1330.8739043,821307.815633,77.4,54.69
"新北市","板橋區","文德里",1324.6501473,1005667.89244,77.8,53.01
"新北市","板橋區","文化里",2312.80433324,1327975.08055,75.19,53.89
"新北市","板橋區","新海里",954.160136743,1124635.47464,82.72,53.14
"新北市","板橋區","莒光里",1955.03002846,1555900.42736,73.6,54.31
"新北市","板橋區","富貴里",1364.4329474,1059502.91923,73.13,55.15
"新北市","板橋區","正泰里",680.501826237,379369.845553,78.43,53.9
"新北市","板橋區","民生里",1094.69603768,794105.616504,81.1,51.59
"新北市","板橋區","後埔里",2094.34632581,844546.198044,77.35,53.56
"新北市","板橋區","華福里",789.829382031,438252.850944,75.64,55.79
"新北市","板橋區","堂春里",1768.80541385,995589.304959,85.12,51.43
"新北市","板橋區","成和里",3855.81673677,1615765.48147,86.61,48.7
"新北市","板橋區","光榮里",1091.22414819,535001.346033,70.58,55.56
"新北市","板橋區","民安里",908.707212083,647930.54249,65.54,56.97
"新北市","板橋區","陽明里",1275.06293264,1187955.92429,71.48,55.44
"新北市","板橋區","朝陽里",1477.58530936,855183.072441,75.9,54.21
"新北市","板橋區","松柏里",1545.62943748,1249537.32042,78.56,53.07
"新北市","板橋區","文聖里",1495.96048757,803691.510426,81.51,52.8
"新北市","板橋區","居仁里",683.865314901,478146.57403,80.08,53.51
"新北市","板橋區","莊敬里",1852.71947212,917905.500288,86.29,50.24
"新北市","板橋區","東安里",635.753825723,443650.87188,81.95,52.41
"新北市","板橋區","五權里",1474.41288814,720794.27772,74.4,54.18
"新北市","板橋區","溪福里",5656.65765222,3376491.78726,88.64,48.67
"新北市","板橋區","大觀里",1602.51618218,651141.908914,84.59,52.04
"新北市","板橋區","歡園里",1581.6767541,791617.880385,74.85,55.16
"新北市","三重區","大有里",3042.15635606,2398216.9803,81.96,52.75
"新北市","樹林區","圳安里",1877.19725043,1559253.02578,88.23,49.33
"新北市","樹林區","保安里",2595.63883448,1762109.06516,76.68,53.47
"新北市","樹林區","[槍]寮里",2839.71845798,2370690.62289,85.09,50.48
"新北市","樹林區","樹德里",1395.31026907,750392.881124,73.73,54.8
"新北市","樹林區","樹西里",2500.48229552,1664758.35728,73.55,54.89
"新北市","樹林區","樹南里",1479.98757655,817674.813163,80.62,53.3
"新北市","樹林區","樹人里",985.287101495,611834.718118,75.52,52.83
"新北市","樹林區","樹東里",2024.03874353,1154284.04896,70.72,55.57
"新北市","樹林區","大同里",1421.49068667,834454.265678,85.88,50.51
"新北市","樹林區","和平里",1768.45862788,961234.834971,75.74,54.09
"新北市","樹林區","彭厝里",2243.53194063,1864969.73057,86.2,50.17
"新北市","樹林區","彭福里",2000.94530306,1108630.64431,83.19,51.34
"新北市","樹林區","東陽里",2396.94881153,1441189.44042,82.14,51.2
"新北市","樹林區","東昇里",1818.24615328,1334940.09554,83.37,51.2
"新北市","樹林區","東園里",603.462934439,830079.695454,72.33,55.03
"新北市","樹林區","西園里",585.644453957,499628.233446,73.95,55.33
"新北市","樹林區","南園里",12917.1496053,7361357.63658,87.51,46.33
"新北市","樹林區","北園里",892.002288877,1150556.35048,78.28,53.75
"新北市","樹林區","柑園里",825.425571901,1097489.48792,84.91,48.32
"新北市","樹林區","樹北里",850.340467285,729589.448145,64.12,57.85
"新北市","樹林區","圳福里",1507.42365883,823807.433806,83.83,51.58
"新北市","土城區","清溪里",3252.53720989,2010521.79456,80.52,52.72
"新北市","土城區","[峰]廷里",2636.89837025,1439819.10266,85.29,51.57
"新北市","土城區","平和里",2043.42692346,1314860.42138,85.2,51.68
"新北市","土城區","廷寮里",1767.23361567,1335058.89373,84.12,51.45
"新北市","土城區","大安里",2063.45711496,3536013.52551,80.39,52.54
"新北市","土城區","永寧里",4158.60124865,2321300.55705,81.92,51.25
"新北市","土城區","沛陂里",5101.10361601,4193791.61318,84.11,49.83
"新北市","土城區","頂埔里",1641.38998064,1638672.19684,81.29,51.63
"新北市","土城區","頂福里",3594.377461,1890756.51136,76.37,52.84
"新北市","土城區","頂新里",780.847489172,409842.202072,81.72,49.8
"新北市","土城區","祖田里",1474.23838913,706522.217298,78.78,53.94
"新北市","土城區","樂利里",2480.09636559,1508103.4681,86.2,51.77
"新北市","土城區","廣福里",1853.94690381,893844.959962,85.7,51.32
"新北市","土城區","學府里",1087.70033048,1171332.83172,86.4,51.87
"新北市","土城區","延壽里",2599.16717422,1379946.86452,83.72,52.03
"新北市","土城區","安和里",2089.16152703,1077449.53136,85.59,51.06
"新北市","土城區","青雲里",1800.98105,1022272.71168,78.46,52.65
