"C_Name","T_Name","Substitu","group","io","User_","PowerSum_","無老年人口戶數比例","戶長平均年齡","所得中位數"
"新北市","新莊區","中華里","A","inner",0.696,0.731,0.285,0.396,0.3
"新北市","新莊區","中隆里","A","outter",0.656,0.751,0.232,0.324,0.328
"新北市","新莊區","中原里","A","outter",0.811,0.827,0.209,0.308,0.31
"新北市","新莊區","中信里","A","inner",0.766,0.76,0.22,0.333,0.284
"新北市","新莊區","四維里","A","inner",0.738,0.737,0.31,0.428,0.223
"新北市","新莊區","建福里","A","outter",0.648,0.659,0.303,0.49,0.206
"新北市","新莊區","中宏里","A","outter",0.673,0.676,0.314,0.431,0.289
"新北市","新莊區","中全里","A","inner",0.677,0.658,0.34,0.449,0.186
"新北市","新莊區","立泰里","A","inner",0.726,0.711,0.359,0.446,0.275
"新北市","新莊區","全泰里","A","outter",0.718,0.725,0.423,0.546,0.348
"新北市","新莊區","仁義里","A","inner",0.713,0.696,0.396,0.49,0.197
"新北市","新莊區","立基里","A","inner",0.77,0.762,0.306,0.433,0.337
"新北市","新莊區","昌明里","A","inner",0.676,0.629,0.262,0.446,0.257
"新北市","新莊區","昌平里","A","inner",0.784,0.772,0.175,0.249,0.379
"新北市","新莊區","文聖里","A","inner",0.724,0.708,0.468,0.528,0.322
"新北市","新莊區","萬安里","A","inner",0.661,0.662,0.27,0.408,0.231
"新北市","新莊區","龍安里","A","inner",0.654,0.642,0.311,0.484,0.184
"新北市","新莊區","福營里","A","outter",0.769,0.864,0.439,0.496,0.227
"新北市","新莊區","後德里","A","inner",0.662,0.647,0.267,0.467,0.309
"新北市","新莊區","建安里","A","inner",0.759,0.776,0.216,0.344,0.298
"新北市","新莊區","成德里","A","inner",0.758,0.729,0.258,0.386,0.251
"新北市","新莊區","福興里","A","outter",0.816,0.881,0.239,0.344,0.285
"新北市","新莊區","昌信里","A","inner",0.686,0.631,0.198,0.3,0.398
"新北市","淡水區","文化里","A","inner",0.683,0.649,0.438,0.513,0.344
"新北市","淡水區","油車里","A","outter",0.801,0.757,0.404,0.5,0.318
"新北市","淡水區","沙崙里","A","outter",0.824,0.758,0.351,0.453,0.251
"新北市","淡水區","新義里","A","inner",0.738,0.717,0.409,0.519,0.225
"新北市","淡水區","新春里","A","outter",0.823,0.746,0.257,0.327,0.42
"新北市","淡水區","新民里","A","inner",0.76,0.727,0.328,0.437,0.379
"新北市","淡水區","正德里","A","outter",0.816,0.75,0.234,0.307,0.387
"新北市","淡水區","北新里","A","inner",0.775,0.747,0.206,0.31,0.415
"新北市","淡水區","民權里","A","inner",0.756,0.739,0.315,0.431,0.381
"新北市","淡水區","幸福里","A","inner",0.754,0.776,0.455,0.58,0.276
"新北市","淡水區","學府里","A","outter",0.833,0.789,0.295,0.375,0.305
"新北市","淡水區","大庄里","A","inner",0.671,0.636,0.315,0.388,0.34
"新北市","汐止區","義民里","A","inner",0.646,0.631,0.553,0.678,0.224
"新北市","汐止區","禮門里","A","inner",0.617,0.594,0.541,0.622,0.276
"新北市","汐止區","智慧里","A","outter",0.81,0.806,0.301,0.38,0.424
"新北市","汐止區","信望里","A","inner",0.55,0.546,0.645,0.755,0.177
"新北市","汐止區","橋東里","A","inner",0.602,0.655,0.355,0.452,0.307
"新北市","汐止區","秀峰里","A","inner",0.771,0.77,0.33,0.467,0.262
"新北市","汐止區","新昌里","A","inner",0.708,0.721,0.425,0.509,0.33
"新北市","汐止區","復興里","A","outter",0.826,0.827,0.27,0.368,0.504
"新北市","汐止區","茄苳里","A","inner",0.731,0.716,0.306,0.385,0.269
"新北市","汐止區","長安里","A","inner",0.637,0.641,0.505,0.63,0.219
"新北市","汐止區","保安里","A","inner",0.715,0.73,0.464,0.563,0.248
"新北市","汐止區","保長里","A","inner",0.465,0.507,0.335,0.368,0.278
"新北市","汐止區","鄉長里","A","inner",0.659,0.616,0.403,0.522,0.251
"新北市","汐止區","江北里","A","inner",0.741,0.752,0.337,0.431,0.26
"新北市","汐止區","拱北里","A","outter",0.782,0.713,0.333,0.451,0.215
"新北市","汐止區","烘內里","A","inner",0.63,0.575,0.465,0.562,0.345
"新北市","板橋區","溪北里","A","outter",0.7,0.687,0.41,0.483,0.242
"新北市","板橋區","香雅里","A","outter",0.469,0.707,0.458,0.545,0.271
"新北市","板橋區","新生里","A","inner",0.673,0.666,0.4,0.558,0.257
"新北市","板橋區","文德里","A","inner",0.672,0.69,0.393,0.484,0.317
"新北市","板橋區","文化里","A","inner",0.74,0.722,0.439,0.522,0.287
"新北市","板橋區","新海里","A","outter",0.632,0.703,0.306,0.489,0.205
"新北市","板橋區","莒光里","A","inner",0.72,0.74,0.467,0.541,0.351
"新北市","板橋區","富貴里","A","inner",0.676,0.696,0.476,0.578,0.361
"新北市","板橋區","正泰里","A","outter",0.591,0.578,0.382,0.523,0.276
"新北市","板橋區","民生里","A","inner",0.649,0.663,0.335,0.421,0.358
"新北市","板橋區","後埔里","A","outter",0.728,0.67,0.401,0.508,0.38
"新北市","板橋區","華福里","A","inner",0.609,0.594,0.431,0.606,0.277
"新北市","板橋區","堂春里","A","inner",0.707,0.689,0.263,0.414,0.237
"新北市","板橋區","成和里","A","outter",0.803,0.744,0.237,0.294,0.303
"新北市","板橋區","光榮里","A","inner",0.648,0.617,0.521,0.596,0.279
"新北市","板橋區","民安里","A","outter",0.626,0.639,0.61,0.658,0.277
"新北市","板橋區","陽明里","A","inner",0.667,0.709,0.505,0.591,0.278
"新北市","板橋區","朝陽里","A","inner",0.685,0.671,0.427,0.536,0.247
"新北市","板橋區","松柏里","A","inner",0.691,0.715,0.38,0.486,0.296
"新北市","板橋區","文聖里","A","inner",0.687,0.664,0.327,0.475,0.322
"新北市","板橋區","居仁里","A","inner",0.591,0.604,0.353,0.506,0.267
"新北市","板橋區","莊敬里","A","inner",0.713,0.679,0.243,0.362,0.489
"新北市","板橋區","東安里","A","inner",0.582,0.596,0.32,0.457,0.259
"新北市","板橋區","五權里","A","inner",0.685,0.652,0.453,0.535,0.249
"新北市","板橋區","溪福里","A","outter",0.85,0.829,0.201,0.293,0.34
"新北市","板橋區","大觀里","A","inner",0.695,0.64,0.273,0.441,0.221
"新北市","板橋區","歡園里","A","inner",0.694,0.662,0.445,0.578,0.219
"新北市","三重區","大有里","A","outter",0.774,0.789,0.319,0.472,0.216
"新北市","樹林區","圳安里","A","inner",0.715,0.74,0.208,0.322,0.249
"新北市","樹林區","保安里","A","inner",0.754,0.754,0.413,0.504,0.255
"新北市","樹林區","[槍]寮里","A","outter",0.765,0.788,0.264,0.373,0.23
"新北市","樹林區","樹德里","A","outter",0.678,0.656,0.465,0.562,0.242
"新北市","樹林區","樹西里","A","inner",0.75,0.747,0.468,0.566,0.339
"新北市","樹林區","樹南里","A","inner",0.686,0.666,0.343,0.496,0.315
"新北市","樹林區","樹人里","A","inner",0.636,0.633,0.433,0.476,0.276
"新北市","樹林區","樹東里","A","inner",0.724,0.706,0.518,0.596,0.218
"新北市","樹林區","大同里","A","inner",0.681,0.668,0.25,0.374,0.302
"新北市","樹林區","和平里","A","inner",0.707,0.685,0.43,0.531,0.222
"新北市","樹林區","彭厝里","A","inner",0.737,0.761,0.244,0.359,0.247
"新北市","樹林區","彭福里","A","inner",0.723,0.701,0.298,0.41,0.262
"新北市","樹林區","東陽里","A","inner",0.745,0.731,0.316,0.404,0.257
"新北市","樹林區","東昇里","A","inner",0.711,0.722,0.294,0.404,0.254
"新北市","樹林區","東園里","A","inner",0.576,0.668,0.49,0.572,0.258
"新北市","樹林區","西園里","A","inner",0.572,0.609,0.461,0.586,0.242
"新北市","樹林區","南園里","C","outter",0.951,0.918,0.221,0.19,0.509
"新北市","樹林區","北園里","A","inner",0.624,0.705,0.385,0.516,0.23
"新北市","樹林區","柑園里","A","outter",0.614,0.7,0.267,0.278,0.536
"新北市","樹林區","樹北里","A","inner",0.618,0.653,0.635,0.696,0.266
"新北市","樹林區","圳福里","A","inner",0.688,0.667,0.286,0.421,0.232
"新北市","土城區","清溪里","A","inner",0.782,0.769,0.345,0.471,0.284
"新北市","土城區","[峰]廷里","A","outter",0.756,0.731,0.26,0.42,0.201
"新北市","土城區","平和里","A","inner",0.725,0.72,0.262,0.425,0.222
"新北市","土城區","廷寮里","A","inner",0.707,0.722,0.281,0.415,0.259
"新北市","土城區","大安里","A","outter",0.726,0.834,0.347,0.463,0.257
"新北市","土城區","永寧里","A","outter",0.812,0.786,0.32,0.406,0.259
"新北市","土城區","沛陂里","A","outter",0.837,0.853,0.281,0.344,0.258
"新北市","土城區","頂埔里","A","inner",0.698,0.746,0.331,0.423,0.26
"新北市","土城區","頂福里","A","outter",0.794,0.762,0.418,0.476,0.215
"新北市","土城區","頂新里","A","inner",0.608,0.587,0.324,0.343,0.421
"新北市","土城區","祖田里","A","inner",0.685,0.649,0.376,0.525,0.197
"新北市","土城區","樂利里","A","inner",0.749,0.736,0.244,0.429,0.248
"新北市","土城區","廣福里","A","inner",0.713,0.676,0.253,0.409,0.339
"新北市","土城區","學府里","A","inner",0.648,0.707,0.241,0.434,0.256
"新北市","土城區","延壽里","A","inner",0.755,0.726,0.288,0.441,0.228
"新北市","土城區","安和里","A","inner",0.728,0.698,0.255,0.398,0.239
"新北市","土城區","青雲里","A","inner",0.71,0.692,0.381,0.468,0.24
"新北市","土城區","員福里","A","inner",0.732,0.731,0.356,0.483,0.244
"新北市","土城區","延吉里","A","inner",0.72,0.69,0.348,0.471,0.196
"新北市","土城區","復興里","A","outter",0.714,0.697,0.31,0.473,0.263
"新北市","土城區","裕生里","A","inner",0.747,0.755,0.31,0.405,0.274
"新北市","土城區","員信里","A","inner",0.707,0.715,0.324,0.468,0.258
"新北市","土城區","永富里","A","inner",0.718,0.595,0.256,0.403,0.227
"新北市","土城區","學成里","A","inner",0.635,0.628,0.255,0.449,0.281
"新北市","土城區","延和里","A","inner",0.77,0.725,0.242,0.373,0.268
"新北市","土城區","中正里","A","inner",0.645,0.618,0.242,0.369,0.318
"新北市","土城區","學士里","A","inner",0.739,0.709,0.238,0.364,0.431
"新北市","土城區","明德里","A","inner",0.667,0.675,0.21,0.307,0.453
"新北市","土城區","廣興里","A","outter",0.689,0.66,0.248,0.362,0.313
"新北市","土城區","青山里","A","inner",0.656,0.622,0.361,0.492,0.221
"新北市","土城區","金城里","A","inner",0.757,0.72,0.222,0.333,0.331
"新北市","土城區","延祿里","A","inner",0.622,0.563,0.288,0.408,0.248
"新北市","蘆洲區","正義里","A","outter",0.859,0.88,0.19,0.173,0.524
"新北市","蘆洲區","中原里","A","inner",0.737,0.751,0.291,0.378,0.237
"新北市","蘆洲區","中路里","A","outter",0.736,0.772,0.333,0.432,0.253
"新北市","蘆洲區","光華里","A","inner",0.712,0.736,0.364,0.491,0.273
"新北市","蘆洲區","保佑里","A","inner",0.711,0.718,0.422,0.503,0.226
"新北市","蘆洲區","水湳里","A","outter",0.813,0.802,0.262,0.348,0.307
"新北市","蘆洲區","樓厝里","A","outter",0.765,0.784,0.283,0.38,0.296
"新北市","蘆洲區","鷺江里","A","inner",0.75,0.741,0.301,0.42,0.279
"新北市","蘆洲區","恆德里","A","outter",0.804,0.798,0.343,0.453,0.287
"新北市","蘆洲區","溪墘里","A","outter",0.727,0.723,0.429,0.559,0.269
"新北市","蘆洲區","樹德里","A","inner",0.675,0.682,0.412,0.525,0.284
"新北市","蘆洲區","保和里","A","inner",0.738,0.727,0.381,0.519,0.223
"新北市","蘆洲區","仁復里","A","inner",0.645,0.672,0.42,0.489,0.282
"新北市","蘆洲區","得勝里","A","inner",0.681,0.688,0.519,0.588,0.206
"新北市","蘆洲區","南港里","A","inner",0.744,0.75,0.265,0.384,0.262
"新北市","蘆洲區","永樂里","A","inner",0.729,0.732,0.266,0.366,0.297
"新北市","蘆洲區","永康里","A","inner",0.725,0.717,0.215,0.319,0.287
"新北市","蘆洲區","信義里","A","inner",0.666,0.666,0.308,0.464,0.201
"新北市","蘆洲區","玉清里","A","inner",0.747,0.748,0.281,0.385,0.298
"新北市","蘆洲區","復興里","A","outter",0.818,0.838,0.291,0.419,0.225
"新北市","蘆洲區","水河里","A","outter",0.857,0.855,0.255,0.366,0.262
"新北市","蘆洲區","仁愛里","A","inner",0.65,0.67,0.261,0.436,0.254
"新北市","蘆洲區","忠義里","A","inner",0.689,0.72,0.267,0.366,0.255
"新北市","蘆洲區","九芎里","A","inner",0.733,0.742,0.271,0.388,0.245
"新北市","板橋區","留侯里","A","inner",0.647,0.635,0.429,0.518,0.292
"新北市","板橋區","流芳里","A","inner",0.659,0.639,0.52,0.561,0.313
"新北市","板橋區","赤松里","A","inner",0.563,0.588,0.566,0.635,0.42
"新北市","板橋區","黃石里","A","inner",0.613,0.679,0.565,0.634,0.231
"新北市","板橋區","挹秀里","A","inner",0.631,0.683,0.526,0.625,0.427
"新北市","板橋區","湳興里","A","outter",0.79,0.788,0.404,0.476,0.3
